id,ma_khach_hang,noi_dung_binh_luan,ngay_binh_luan,gio_binh_luan,so_sao,ma_san_pham
1,443,sử_dụng_dàng thoải_mái thư giãn độ,29/04/2023,17:06,5,308500015
2,1030,sử_dụng dãng thoải_mái thư giãn độ,30/04/2023,15:04,5,308500015
3,689,thích hasaki sản_phẩm tẩy,30/04/2023,18:34,5,422216594
4,2519,sản_phẩm khả_năng sạch tốt mắt môi_chóng bỏ tẩy toàn bụi bẩn dầu_thừa lớp đi cực_kỳ phù_hợp sản_phẩm không_sạch_dịu giúp tình_trạng ngứa_ngáy chịu,17/07/2022,13:48,5,204100075
5,402,sữa rửa mặt tốt sạch mụn,15/04/2023,23:04,5,422208977
7,2517,dòng srm chân tuyp thử nhờn khô_hở tí nổi mụn điểm,25/12/2022,17:11,5,204100019
8,1750,sài bha obagi đổi thử sài plc hasaki chuẩn hàng kèm quà tặng quà trừ tiền sản_phẩm,9/7/2022,4:34,5,100220035
9,3394,xài,7/7/2022,11:18,5,204100024
10,1817,ứng không_hợp,5/2/2024,3:50,4,422216354
11,3556,nhân_viên tư_vấn train đẹp sản_phẩm dán mụn tè sản_phẩm,12/9/2023,22:33,5,100250032
12,2375,mùi thơm_dịu mát thư_giãn,29/04/2023,16:52,5,422205163
13,2027,khum đánh_giá vụ nâng tông trắng lắm chỉnh nửa_tông chống nắng_lót phê_hợp kiểu đồ đi học đi_nhiên không_dày mặt,24/10/2022,18:02,5,249500019
14,2928,sánh bnbg nhma ẩm không_tốt bnbg tốt tầm giá dầu ẩm thoải_mái mặt_nạ,27/03/2024,22:14,5,422209718
15,3059,miếng mỏng thấm tẩy toner nhũn liền mặt sản_phẩm đáp_ứng cầu tốt hơn,19/12/2020,7:52,2,413400001
16,1118,xài tốt_tẩy sạch xài thích tẩy loreal inisfre không_mùi hóa_học không_châm xài trôi chùi sạch lợi_thể rửa mặt,22/06/2021,9:30,5,422204884
17,2273,hơi bết trắng quá,17/12/2022,11:20,4,422208183
18,736,sản_phẩm tốt,5/12/2022,15:52,5,100230056
19,731,kiểu tiền xài tẩy hàng hơi,4/3/2023,19:08,5,100230056
20,4234,rít mặt đắp xomg rôid_dưỡng nhiên mask tốt_đắp không_kích_ứng,17/07/2023,23:05,4,422205637
21,2696,luôn,18/08/2019,23:21,5,422203776
23,1281,tiền,11/10/2021,12:13,5,204900005
24,3417,mùi_nhiên hạt nhẹ không_rát không_kích_ứng mỏng xài thử tuýp bé tí í giùm mỏi mắt,30/06/2022,22:32,5,351700026
25,1268,sạch không_khô sạch dầu,18/09/2024,12:03,5,204900056
26,1360,trời xài_hiệu trông,3/7/2024,8:06,5,422208328
